/home/hyohyeongjang/.conda/envs/commonRegion/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (6.0.0.post1)/charset_normalizer (3.4.3) doesn't match a supported version!
  warnings.warn(
step 7000: tokens=333469608/1000000000 (33.3%), loss=0.1218, FVU=0.0102, dead_frac=0.000, throughput=34991 tok/s, ETA=5.3h
step 7100: tokens=338228256/1000000000 (33.8%), loss=0.1154, FVU=0.0099, dead_frac=0.000, throughput=34988 tok/s, ETA=5.3h
step 7200: tokens=342981840/1000000000 (34.3%), loss=0.1241, FVU=0.0105, dead_frac=0.000, throughput=34985 tok/s, ETA=5.2h
step 7300: tokens=347741448/1000000000 (34.8%), loss=0.1224, FVU=0.0107, dead_frac=0.000, throughput=34983 tok/s, ETA=5.2h
step 7400: tokens=352518432/1000000000 (35.3%), loss=0.1174, FVU=0.0102, dead_frac=0.000, throughput=34991 tok/s, ETA=5.1h
step 7500: tokens=357287544/1000000000 (35.7%), loss=0.1219, FVU=0.0104, dead_frac=0.000, throughput=34991 tok/s, ETA=5.1h
step 7600: tokens=362067576/1000000000 (36.2%), loss=0.1160, FVU=0.0100, dead_frac=0.000, throughput=34996 tok/s, ETA=5.1h
step 7700: tokens=366833304/1000000000 (36.7%), loss=0.1119, FVU=0.0099, dead_frac=0.000, throughput=34990 tok/s, ETA=5.0h
step 7800: tokens=371592528/1000000000 (37.2%), loss=0.1159, FVU=0.0106, dead_frac=0.000, throughput=34997 tok/s, ETA=5.0h
step 7900: tokens=376364016/1000000000 (37.6%), loss=0.1207, FVU=0.0108, dead_frac=0.000, throughput=34995 tok/s, ETA=5.0h
step 8000: tokens=381119016/1000000000 (38.1%), loss=0.1180, FVU=0.0098, dead_frac=0.000, throughput=35001 tok/s, ETA=4.9h
step 8100: tokens=385886376/1000000000 (38.6%), loss=0.1224, FVU=0.0101, dead_frac=0.000, throughput=34989 tok/s, ETA=4.9h
step 8200: tokens=390642456/1000000000 (39.1%), loss=0.1199, FVU=0.0104, dead_frac=0.000, throughput=34988 tok/s, ETA=4.8h
step 8300: tokens=395411952/1000000000 (39.5%), loss=0.1220, FVU=0.0109, dead_frac=0.000, throughput=34993 tok/s, ETA=4.8h
step 8400: tokens=400167840/1000000000 (40.0%), loss=0.1200, FVU=0.0105, dead_frac=0.000, throughput=34991 tok/s, ETA=4.8h
step 8500: tokens=404936856/1000000000 (40.5%), loss=0.1174, FVU=0.0100, dead_frac=0.000, throughput=34990 tok/s, ETA=4.7h
step 8600: tokens=409681584/1000000000 (41.0%), loss=0.1132, FVU=0.0098, dead_frac=0.000, throughput=34996 tok/s, ETA=4.7h
step 8700: tokens=414426792/1000000000 (41.4%), loss=0.1209, FVU=0.0104, dead_frac=0.000, throughput=34998 tok/s, ETA=4.6h
step 8800: tokens=419198184/1000000000 (41.9%), loss=0.1120, FVU=0.0099, dead_frac=0.000, throughput=34993 tok/s, ETA=4.6h
step 8900: tokens=423948096/1000000000 (42.4%), loss=0.1148, FVU=0.0098, dead_frac=0.000, throughput=34993 tok/s, ETA=4.6h
step 9000: tokens=428709480/1000000000 (42.9%), loss=0.1204, FVU=0.0100, dead_frac=0.000, throughput=34997 tok/s, ETA=4.5h
step 9100: tokens=433448280/1000000000 (43.3%), loss=0.1160, FVU=0.0095, dead_frac=0.000, throughput=34996 tok/s, ETA=4.5h
step 9200: tokens=438214752/1000000000 (43.8%), loss=0.1121, FVU=0.0095, dead_frac=0.000, throughput=34998 tok/s, ETA=4.5h
step 9300: tokens=442969776/1000000000 (44.3%), loss=0.1169, FVU=0.0104, dead_frac=0.000, throughput=34996 tok/s, ETA=4.4h
step 9400: tokens=447746064/1000000000 (44.8%), loss=0.1179, FVU=0.0101, dead_frac=0.000, throughput=34995 tok/s, ETA=4.4h
step 9500: tokens=452527776/1000000000 (45.3%), loss=0.1141, FVU=0.0099, dead_frac=0.000, throughput=35000 tok/s, ETA=4.3h
step 9600: tokens=457303872/1000000000 (45.7%), loss=0.1184, FVU=0.0092, dead_frac=0.000, throughput=35005 tok/s, ETA=4.3h
step 9700: tokens=462064416/1000000000 (46.2%), loss=0.1147, FVU=0.0098, dead_frac=0.000, throughput=35001 tok/s, ETA=4.3h
step 9800: tokens=466827840/1000000000 (46.7%), loss=0.1144, FVU=0.0100, dead_frac=0.000, throughput=35001 tok/s, ETA=4.2h
step 9900: tokens=471587712/1000000000 (47.2%), loss=0.1166, FVU=0.0101, dead_frac=0.000, throughput=35005 tok/s, ETA=4.2h
step 10000: tokens=476328840/1000000000 (47.6%), loss=0.1113, FVU=0.0095, dead_frac=0.000, throughput=35004 tok/s, ETA=4.2h
step 10100: tokens=481082592/1000000000 (48.1%), loss=0.1156, FVU=0.0096, dead_frac=0.000, throughput=34993 tok/s, ETA=4.1h
step 10200: tokens=485820384/1000000000 (48.6%), loss=0.1205, FVU=0.0105, dead_frac=0.000, throughput=34997 tok/s, ETA=4.1h
step 10300: tokens=490582584/1000000000 (49.1%), loss=0.1164, FVU=0.0101, dead_frac=0.000, throughput=34997 tok/s, ETA=4.0h
step 10400: tokens=495334176/1000000000 (49.5%), loss=0.1164, FVU=0.0099, dead_frac=0.000, throughput=35002 tok/s, ETA=4.0h
step 10500: tokens=500089968/1000000000 (50.0%), loss=0.1105, FVU=0.0092, dead_frac=0.000, throughput=35000 tok/s, ETA=4.0h
step 10600: tokens=504856608/1000000000 (50.5%), loss=0.1233, FVU=0.0102, dead_frac=0.000, throughput=35004 tok/s, ETA=3.9h
step 10700: tokens=509631168/1000000000 (51.0%), loss=0.1099, FVU=0.0096, dead_frac=0.000, throughput=35003 tok/s, ETA=3.9h
step 10800: tokens=514389048/1000000000 (51.4%), loss=0.1137, FVU=0.0098, dead_frac=0.000, throughput=35001 tok/s, ETA=3.9h
step 10900: tokens=519134736/1000000000 (51.9%), loss=0.1100, FVU=0.0093, dead_frac=0.000, throughput=35005 tok/s, ETA=3.8h
step 11000: tokens=523914192/1000000000 (52.4%), loss=0.1091, FVU=0.0092, dead_frac=0.000, throughput=35003 tok/s, ETA=3.8h
step 11100: tokens=528655632/1000000000 (52.9%), loss=0.1092, FVU=0.0092, dead_frac=0.000, throughput=35007 tok/s, ETA=3.7h
step 11200: tokens=533425152/1000000000 (53.3%), loss=0.1169, FVU=0.0099, dead_frac=0.000, throughput=35002 tok/s, ETA=3.7h
step 11300: tokens=538176096/1000000000 (53.8%), loss=0.1097, FVU=0.0100, dead_frac=0.000, throughput=35005 tok/s, ETA=3.7h
step 11400: tokens=542947464/1000000000 (54.3%), loss=0.1142, FVU=0.0103, dead_frac=0.000, throughput=35006 tok/s, ETA=3.6h
step 11500: tokens=547699560/1000000000 (54.8%), loss=0.1116, FVU=0.0100, dead_frac=0.000, throughput=35007 tok/s, ETA=3.6h
step 11600: tokens=552463392/1000000000 (55.2%), loss=0.1039, FVU=0.0084, dead_frac=0.000, throughput=35004 tok/s, ETA=3.6h
step 11700: tokens=557196312/1000000000 (55.7%), loss=0.1112, FVU=0.0095, dead_frac=0.000, throughput=35001 tok/s, ETA=3.5h
step 11800: tokens=561953976/1000000000 (56.2%), loss=0.1080, FVU=0.0096, dead_frac=0.000, throughput=35004 tok/s, ETA=3.5h
step 11900: tokens=566718168/1000000000 (56.7%), loss=0.1169, FVU=0.0098, dead_frac=0.000, throughput=35003 tok/s, ETA=3.4h
step 12000: tokens=571487160/1000000000 (57.1%), loss=0.1085, FVU=0.0090, dead_frac=0.000, throughput=35001 tok/s, ETA=3.4h
step 12100: tokens=576244584/1000000000 (57.6%), loss=0.1075, FVU=0.0091, dead_frac=0.000, throughput=35000 tok/s, ETA=3.4h
step 12200: tokens=581007048/1000000000 (58.1%), loss=0.1091, FVU=0.0096, dead_frac=0.000, throughput=34996 tok/s, ETA=3.3h
step 12300: tokens=585777600/1000000000 (58.6%), loss=0.1077, FVU=0.0091, dead_frac=0.000, throughput=35000 tok/s, ETA=3.3h
step 12400: tokens=590543712/1000000000 (59.1%), loss=0.1128, FVU=0.0100, dead_frac=0.000, throughput=34999 tok/s, ETA=3.2h
step 12500: tokens=595334208/1000000000 (59.5%), loss=0.1075, FVU=0.0096, dead_frac=0.000, throughput=35003 tok/s, ETA=3.2h
step 12600: tokens=600118608/1000000000 (60.0%), loss=0.1124, FVU=0.0094, dead_frac=0.000, throughput=35001 tok/s, ETA=3.2h
step 12700: tokens=604888704/1000000000 (60.5%), loss=0.1031, FVU=0.0084, dead_frac=0.000, throughput=34999 tok/s, ETA=3.1h
step 12800: tokens=609648960/1000000000 (61.0%), loss=0.1132, FVU=0.0095, dead_frac=0.000, throughput=35002 tok/s, ETA=3.1h
step 12900: tokens=614397552/1000000000 (61.4%), loss=0.1080, FVU=0.0094, dead_frac=0.000, throughput=34999 tok/s, ETA=3.1h
step 13000: tokens=619175688/1000000000 (61.9%), loss=0.1146, FVU=0.0102, dead_frac=0.000, throughput=34997 tok/s, ETA=3.0h
step 13100: tokens=623952384/1000000000 (62.4%), loss=0.1095, FVU=0.0094, dead_frac=0.000, throughput=34998 tok/s, ETA=3.0h
