/home/hyohyeongjang/.conda/envs/commonRegion/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (6.0.0.post1)/charset_normalizer (3.4.3) doesn't match a supported version!
  warnings.warn(
step 9300: tokens=440407992/1000000000 (44.0%), loss=0.1101, FVU=0.0350, dead_frac=0.003, throughput=33820 tok/s, ETA=4.6h
step 9400: tokens=445095480/1000000000 (44.5%), loss=0.1027, FVU=0.0310, dead_frac=0.003, throughput=33826 tok/s, ETA=4.6h
step 9500: tokens=449802696/1000000000 (45.0%), loss=0.1111, FVU=0.0345, dead_frac=0.003, throughput=33833 tok/s, ETA=4.5h
step 9600: tokens=454467384/1000000000 (45.4%), loss=0.1001, FVU=0.0291, dead_frac=0.003, throughput=33840 tok/s, ETA=4.5h
step 9700: tokens=459132648/1000000000 (45.9%), loss=0.1066, FVU=0.0332, dead_frac=0.003, throughput=33847 tok/s, ETA=4.4h
step 9800: tokens=463703688/1000000000 (46.4%), loss=0.1005, FVU=0.0315, dead_frac=0.003, throughput=33853 tok/s, ETA=4.4h
step 9900: tokens=468318504/1000000000 (46.8%), loss=0.0906, FVU=0.0295, dead_frac=0.003, throughput=33858 tok/s, ETA=4.4h
step 10000: tokens=473044920/1000000000 (47.3%), loss=0.1057, FVU=0.0343, dead_frac=0.003, throughput=33866 tok/s, ETA=4.3h
step 10100: tokens=477807720/1000000000 (47.8%), loss=0.0993, FVU=0.0316, dead_frac=0.003, throughput=33871 tok/s, ETA=4.3h
step 10200: tokens=482550600/1000000000 (48.3%), loss=0.1161, FVU=0.0393, dead_frac=0.003, throughput=33877 tok/s, ETA=4.2h
step 10300: tokens=487214400/1000000000 (48.7%), loss=0.1138, FVU=0.0364, dead_frac=0.003, throughput=33882 tok/s, ETA=4.2h
step 10400: tokens=491942232/1000000000 (49.2%), loss=0.1092, FVU=0.0336, dead_frac=0.003, throughput=33887 tok/s, ETA=4.2h
step 10500: tokens=496688160/1000000000 (49.7%), loss=0.1198, FVU=0.0359, dead_frac=0.003, throughput=33891 tok/s, ETA=4.1h
step 10600: tokens=501463896/1000000000 (50.1%), loss=0.1072, FVU=0.0335, dead_frac=0.003, throughput=33896 tok/s, ETA=4.1h
step 10700: tokens=506211384/1000000000 (50.6%), loss=0.1038, FVU=0.0329, dead_frac=0.003, throughput=33901 tok/s, ETA=4.0h
